District,RepName,Score,State,Year
1,Edwards,22,Alabama,1980
2,Dickinson,17,Alabama,1980
3,Nichols,17,Alabama,1980
4,Bevill,31,Alabama,1980
5,Flippo,31,Alabama,1980
6,Buchanan,31,Alabama,1980
7,Shelby,17,Alabama,1980
1,Young ,6,Alaska,1980
1,Rhodes,12,Arizona,1980
2,Udall,61,Arizona,1980
3,Stump,13,Arizona,1980
4,Rudd,17,Arizona,1980
1,Alexander,31,Arkansas,1980
2,Bethune,17,Arkansas,1980
3,Rammerschmidt,17,Arkansas,1980
4,Anthony,26,Arkansas,1980
1,Johnson,30,California,1980
2,Clausen,39,California,1980
3,Matsui,76,California,1980
4,Fazio,58,California,1980
5,"Burton,  J.",94,California,1980
6,"Burton,  P.",88,California,1980
7,Miller,88,California,1980
8,Dellums,92,California,1980
9,Stark,87,California,1980
10,Edwards,96,California,1980
11,Royer ,35,California,1980
12,McCloskey,63,California,1980
13,Mineta,72,California,1980
14,Shumway,17,California,1980
15,Coelho,45,California,1980
16,Panetta,63,California,1980
17,Pashayan,28,California,1980
18,Thomas,13,California,1980
19,Lagomarsino,43,California,1980
20,Goldwater,35,California,1980
21,Corman,43,California,1980
22,Moorhead,35,California,1980
23,Beilenson,99,California,1980
24,Waxman,94,California,1980
25,Roybal,61,California,1980
26,Rousselot,22,California,1980
27,Dornan,30,California,1980
28,Dixon,62,California,1980
29,Hawkins,70,California,1980
30,Danielson,52,California,1980
31,"Wilson, C.H.",27,California,1980
32,Anderson,44,California,1980
33,Grisham,30,California,1980
34,Lundgren,31,California,1980
35,Lloyd,39,California,1980
36,Brown,72,California,1980
37,Lewis,40,California,1980
38,Patterson,67,California,1980
39,Dannemeyer,31,California,1980
40,Badham,12,California,1980
41,"Wilson, Bob",12,California,1980
42,Van Deerlin,43,California,1980
43,Burgerer,26,California,1980
1,Schroeder,85,Colorado,1980
2,Wirth,79,Colorado,1980
3,Kogovsek,44,Colorado,1980
4,Johnson,33,Colorado,1980
5,Kramer,22,Colorado,1980
1,Cotter,28,Connecticut,1980
2,Dodd ,79,Connecticut,1980
3,Giaimo ,25,Connecticut,1980
4,McKinney,62,Connecticut,1980
5,Ratchford,87,Connecticut,1980
6,Moffett,94,Connecticut,1980
1,Evans,65,Delaware,1980
1,Hutto,35,Florida,1980
2,Fuqua,26,Florida,1980
3,Bennett,30,Florida,1980
4,Chappell,13,Florida,1980
5,Kelly,41,Florida,1980
6,Young ,30,Florida,1980
7,Gibbons,26,Florida,1980
8,Ireland,31,Florida,1980
9,Nelson,48,Florida,1980
10,Bafalis,17,Florida,1980
11,Mica,42,Florida,1980
12,Stack,76,Florida,1980
13,Lehman,54,Florida,1980
14,Pepper,29,Florida,1980
15,Fascell,43,Florida,1980
1,Ginn,22,Georgia,1980
2,Mathis,16,Georgia,1980
3,Brinkley,61,Georgia,1980
4,Levitas,63,Georgia,1980
5,Fowler,80,Georgia,1980
6,Gingrich,50,Georgia,1980
7,McDonald,39,Georgia,1980
8,Evans,26,Georgia,1980
9,Jenkins,41,Georgia,1980
10,Barnard,17,Georgia,1980
1,Heftel,49,Hawaii,1980
2,Akaka,35,Hawaii,1980
1,Symms,6,Idaho,1980
2,Hansen,5,Idaho,1980
1,Stewart,45,Illinois,1980
2,Murphy,24,Illinois,1980
3,Russo,72,Illinois,1980
4,Derwinski,55,Illinois,1980
5,Fary,26,Illinois,1980
6,Hyde,43,Illinois,1980
7,Collins,81,Illinois,1980
8,Rostenkowski,27,Illinois,1980
9,Yates,79,Illinois,1980
10,Porter,74,Illinois,1980
11,Annunzio,26,Illinois,1980
12,"Crane,  P.",20,Illinois,1980
13,McClory,32,Illinois,1980
14,Erlenborn,39,Illinois,1980
15,Corcoran,36,Illinois,1980
16,Anderson,66,Illinois,1980
17,O'Brien,28,Illinois,1980
18,Michel,22,Illinois,1980
19,Railsback,49,Illinois,1980
20,Findley,48,Illinois,1980
21,Madigan,3,Illinois,1980
22,"Crane,  D.",39,Illinois,1980
23,Price,44,Illinois,1980
24,Simon,72,Illinois,1980
1,Benjamin,30,Indiana,1980
2,Fithian,75,Indiana,1980
3,Brademas,50,Indiana,1980
4,Quayle,37,Indiana,1980
5,Hillis,27,Indiana,1980
6,Evans,52,Indiana,1980
7,Myers,13,Indiana,1980
8,Deckard,72,Indiana,1980
9,Hamilton,61,Indiana,1980
10,Sharp,61,Indiana,1980
11,Jacobs,48,Indiana,1980
1,Leach,63,Iowa,1980
2,Tauke,59,Iowa,1980
3,Grassley,35,Iowa,1980
4,Smith,44,Iowa,1980
5,Harkin,94,Iowa,1980
6,Bedell,88,Iowa,1980
1,Sebelius,13,Kansas,1980
2,Jeffries,30,Kansas,1980
3,Winn,26,Kansas,1980
4,Glickman,81,Kansas,1980
5,Whittaker,48,Kansas,1980
1,Hubbard,31,Kentucky,1980
2,Natcher,30,Kentucky,1980
3,Nazzoli,54,Kentucky,1980
4,Snyder,13,Kentucky,1980
5,Carter,26,Kentucky,1980
6,Hopkins,31,Kentucky,1980
7,Perkins,39,Kentucky,1980
1,Livingston,35,Louisiana,1980
2,Boggs,40,Louisiana,1980
3,Tauzin,20,Louisiana,1980
4,Leach ,18,Louisiana,1980
5,Huckaby,39,Louisiana,1980
6,Moore,30,Louisiana,1980
7,Breaux,22,Louisiana,1980
8,Long,39,Louisiana,1980
1,Emery,77,Maine,1980
2,Snowe,57,Maine,1980
1,Bauman ,30,Maryland,1980
2,Long,60,Maryland,1980
3,Mikulski,74,Maryland,1980
4,Holt,38,Maryland,1980
5,Spellman,70,Maryland,1980
6,Byron,67,Maryland,1980
7,Mitchell,84,Maryland,1980
8,Barnes,91,Maryland,1980
1,Conte,76,Massachusetts,1980
2,Boland,63,Massachusetts,1980
3,Early,79,Massachusetts,1980
4,Drinan ,90,Massachusetts,1980
5,Shannon,88,Massachusetts,1980
6,Mavroules,85,Massachusetts,1980
7,Markey,100,Massachusetts,1980
8,O'Neill,NA,Massachusetts,1980
9,Moakley,69,Massachusetts,1980
10,Heckler,74,Massachusetts,1980
11,Donnelly,76,Massachusetts,1980
12,Studds,96,Massachusetts,1980
1,Conyers,81,Michigan,1980
2,Pursell,77,Michigan,1980
3,Volpe,99,Michigan,1980
4,Stockman ,42,Michigan,1980
5,Sawyer,52,Michigan,1980
6,Carr ,78,Michigan,1980
7,Kildee,83,Michigan,1980
8,Traxler,43,Michigan,1980
9,Vander Jagt,35,Michigan,1980
10,Albosta,30,Michigan,1980
11,Davis,41,Michigan,1980
12,Bonior,88,Michigan,1980
13,Crockett,NA,Michigan,1980
14,Nedzi,52,Michigan,1980
15,Ford,53,Michigan,1980
16,Dingell,58,Michigan,1980
17,Brodhead,78,Michigan,1980
18,Blanchard,52,Michigan,1980
19,Broomfield,57,Michigan,1980
1,Erdahl,58,Minnesota,1980
2,Hagedorn,22,Minnesota,1980
3,Frenzel,31,Minnesota,1980
4,Vento,90,Minnesota,1980
5,Sabo,74,Minnesota,1980
6,Nolan ,95,Minnesota,1980
7,Stangeland,22,Minnesota,1980
8,Oberstar,70,Minnesota,1980
1,Whitten,27,Mississippi,1980
2,Bowen,7,Mississippi,1980
3,Montgomery,17,Mississippi,1980
4,Hinson,17,Mississippi,1980
5,Lott,17,Mississippi,1980
1,Clay,87,Missouri,1980
2,Young ,40,Missouri,1980
3,Gephardt,65,Missouri,1980
4,Skelton,31,Missouri,1980
5,Bolling,57,Missouri,1980
6,Coleman,31,Missouri,1980
7,Taylor,17,Missouri,1980
8,Ichord,12,Missouri,1980
9,Volkmer,39,Missouri,1980
10,Burlison ,31,Missouri,1980
1,Williams ,78,Montana,1980
2,Marlenee,41,Montana,1980
1,Bereuter,52,Nebraska,1980
2,Cavanaugh ,73,Nebraska,1980
3,Smith ,26,Nebraska,1980
1,Santini,50,Nevada,1980
1,D' Amours,72,New Hampshire,1980
2,Cleveland,22,New Hampshire,1980
1,Florio,81,New Jersey,1980
2,Hughes,83,New Jersey,1980
3,Howard,52,New Jersey,1980
4,Thompson,76,New Jersey,1980
5,Fenwick,94,New Jersey,1980
6,Forsythe,70,New Jersey,1980
7,Maguire ,96,New Jersey,1980
8,Roe,61,New Jersey,1980
9,Hollenbeck,82,New Jersey,1980
10,Rodino,72,New Jersey,1980
11,Minish,87,New Jersey,1980
12,Rinaldo,57,New Jersey,1980
13,Courter,46,New Jersey,1980
14,Guarini,74,New Jersey,1980
15,Patten ,45,New Jersey,1980
1,Lujan,43,New Mexico,1980
2,Runnels,21,New Mexico,1980
1,Carney,22,New York,1980
2,Downey,94,New York,1980
3,Ambro,76,New York,1980
4,Lent,32,New York,1980
5,Wydler,24,New York,1980
6,Wolff,69,New York,1980
7,Addabbo,70,New York,1980
8,Rosenthal,84,New York,1980
9,Ferraro,72,New York,1980
10,Biaggi,34,New York,1980
11,Scheuer,65,New York,1980
12,Chisholm,81,New York,1980
13,Solarz,65,New York,1980
14,Richmond,81,New York,1980
15,Zeferetti,43,New York,1980
16,Holtzman,84,New York,1980
17,Murphy,28,New York,1980
18,Green,83,New York,1980
19,Rangel,74,New York,1980
20,Weiss,87,New York,1980
21,Garcia,67,New York,1980
22,Bingham,85,New York,1980
23,Peyser,69,New York,1980
24,Ottinger,84,New York,1980
25,Fish,70,New York,1980
26,Gilman,49,New York,1980
27,McHugh,82,New York,1980
28,Stratton,27,New York,1980
29,Solomon,37,New York,1980
30,McEwan,12,New York,1980
31,Mitchell,58,New York,1980
32,Hanley,43,New York,1980
33,Lee,49,New York,1980
34,Horton,39,New York,1980
35,Conable,47,New York,1980
36,LaFalce,74,New York,1980
37,Nowak,70,New York,1980
38,Kemp,51,New York,1980
39,Lundine,65,New York,1980
1,Jones,35,North Carolina,1980
2,Fountain,43,North Carolina,1980
3,Whitley,30,North Carolina,1980
4,Andrews,31,North Carolina,1980
5,Neal,73,North Carolina,1980
6,Preyer,26,North Carolina,1980
7,Rosenthal,52,North Carolina,1980
8,Hefner,39,North Carolina,1980
9,Martin,48,North Carolina,1980
10,Broyhill,36,North Carolina,1980
11,Gudger,60,North Carolina,1980
1,Andrews,27,North Dakota,1980
1,Gradison,52,Ohio,1980
2,Luken,48,Ohio,1980
3,Hall,88,Ohio,1980
4,Guyer,26,Ohio,1980
5,Latta,31,Ohio,1980
6,Harsha,12,Ohio,1980
7,Brown,12,Ohio,1980
8,Kindness,41,Ohio,1980
9,Ashley,41,Ohio,1980
10,Miller,26,Ohio,1980
11,Stanton,27,Ohio,1980
12,Devine,35,Ohio,1980
13,Pease,88,Ohio,1980
14,Seiberling,91,Ohio,1980
15,Wylie,22,Ohio,1980
16,Regula,26,Ohio,1980
17,Ashbrook,17,Ohio,1980
18,Applegate,35,Ohio,1980
19,Williams ,41,Ohio,1980
20,Oakar,65,Ohio,1980
21,Stokes,70,Ohio,1980
22,Vanik,72,Ohio,1980
23,Mottl,60,Ohio,1980
1,Jones,26,Oklahoma,1980
2,Synar,63,Oklahoma,1980
3,Watkins,12,Oklahoma,1980
4,Steed,25,Oklahoma,1980
5,Edwards,31,Oklahoma,1980
6,English,22,Oklahoma,1980
1,AuCoin,72,Oregon,1980
2,Ullman,47,Oregon,1980
3,Duncan,38,Oregon,1980
4,Weaver,93,Oregon,1980
1,Myers,19,Pennsylvania,1980
2,Gray,81,Pennsylvania,1980
3,Lederer,56,Pennsylvania,1980
4,Dougherty,60,Pennsylvania,1980
5,Schulze,17,Pennsylvania,1980
6,Yatron,54,Pennsylvania,1980
7,Edgar,93,Pennsylvania,1980
8,Kostmayer,94,Pennsylvania,1980
9,Shuster,17,Pennsylvania,1980
10,McDade,32,Pennsylvania,1980
11,Musto,51,Pennsylvania,1980
12,Murtha,36,Pennsylvania,1980
13,Coughlin,67,Pennsylvania,1980
14,Moorhead,47,Pennsylvania,1980
15,Ritter,46,Pennsylvania,1980
16,Walker,43,Pennsylvania,1980
17,Ertel,67,Pennsylvania,1980
18,Walgren,78,Pennsylvania,1980
19,Goodling,45,Pennsylvania,1980
20,Gaydos,26,Pennsylvania,1980
21,Bailey,48,Pennsylvania,1980
22,Murphy,70,Pennsylvania,1980
23,Clinger,30,Pennsylvania,1980
24,Marks,65,Pennsylvania,1980
25,Atkinson,50,Pennsylvania,1980
1,St. Germain,67,Rhode Island,1980
2,Beard,65,Rhode Island,1980
1,Davis,44,South Carolina,1980
2,Spence,30,South Carolina,1980
3,Derrick,55,South Carolina,1980
4,Campbell,37,South Carolina,1980
5,Holland,42,South Carolina,1980
6,Jenrette,15,South Carolina,1980
1,Daschle,74,South Dakota,1980
2,Abdnor,29,South Dakota,1980
1,Quillen,46,Tennessee,1980
2,Duncan,35,Tennessee,1980
3,Bouquard,22,Tennessee,1980
4,Gore,35,Tennessee,1980
5,Boner,37,Tennessee,1980
6,Beard,27,Tennessee,1980
7,Jones,17,Tennessee,1980
8,Ford,58,Tennessee,1980
1,"Hall,  S.",17,Texas,1980
2,Wilson,28,Texas,1980
3,Collins ,35,Texas,1980
4,Roberts,12,Texas,1980
5,Mattox,51,Texas,1980
6,Gramm,2,Texas,1980
7,Archer,32,Texas,1980
8,Eckhardt,70,Texas,1980
9,Brooks,13,Texas,1980
10,Pickle,30,Texas,1980
11,Leath,1,Texas,1980
12,Wright,31,Texas,1980
13,Hightower,15,Texas,1980
14,Wyatt,12,Texas,1980
15,de la Garza,8,Texas,1980
16,White,22,Texas,1980
17,Stenholm,4,Texas,1980
18,Leland,81,Texas,1980
19,Hance,12,Texas,1980
20,Gonzalez,35,Texas,1980
21,Loeffler,26,Texas,1980
22,Paul,47,Texas,1980
23,Kazen,31,Texas,1980
24,Frost,17,Texas,1980
1,McKay,17,Utah,1980
2,Marriott,40,Utah,1980
1,Jeffords,91,Vermont,1980
1,Trible,13,Virginia,1980
2,Whitehurst,13,Virginia,1980
3,Satterfield,13,Virginia,1980
4,"Daniel, R.W.",22,Virginia,1980
5,"Daniel, Dan",17,Virginia,1980
6,Butler,17,Virginia,1980
7,Robinson,13,Virginia,1980
8,Harris,83,Virginia,1980
9,Wampler,17,Virginia,1980
10,Fisher,74,Virginia,1980
1,Pritchard,62,Washington,1980
2,Swift,70,Washington,1980
3,Bonker,77,Washington,1980
4,McCormack,27,Washington,1980
5,Foley,49,Washington,1980
6,Dicks,44,Washington,1980
7,Lowry,87,Washington,1980
1,Mollohan,17,West Virginia,1980
2,Staggers,43,West Virginia,1980
3,Hutchinson,39,West Virginia,1980
4,Rahall,41,West Virginia,1980
1,Aspin,85,Wisconsin,1980
2,Kastenmeier,91,Wisconsin,1980
3,Baldus ,52,Wisconsin,1980
4,Zablocki,43,Wisconsin,1980
5,Reuss,82,Wisconsin,1980
6,Petri,44,Wisconsin,1980
7,Obey,78,Wisconsin,1980
8,Roth,48,Wisconsin,1980
9,Sensenbrenner,48,Wisconsin,1980
1,Cheney,12,Wyoming,1980
1,Edwards,14,Alabama,1981
2,Dickinson,0,Alabama,1981
3,Nichols,7,Alabama,1981
4,Bevill,23,Alabama,1981
5,Flippo,23,Alabama,1981
6,Smith,7,Alabama,1981
7,Shelby,7,Alabama,1981
1,Young,23,Alaska,1981
1,Rhodes,7,Arizona,1981
2,Udall,76,Arizona,1981
3,Stump,0,Arizona,1981
4,Rudd,0,Arizona,1981
1,Alexander,40,Arkansas,1981
2,Bethune,29,Arkansas,1981
3,Hammerschmidt,0,Arkansas,1981
4,Anthony,23,Arkansas,1981
1,Chappie,17,California,1981
2,Clausen,14,California,1981
3,Matsui,57,California,1981
4,Fazio,45,California,1981
5,"Burton, J.",84,California,1981
6,"Burton, P.",84,California,1981
7,Miller,100,California,1981
8,Dellums,100,California,1981
9,Stark,99,California,1981
10,Edwards,91,California,1981
11,Lantos,76,California,1981
12,McCloskey,36,California,1981
13,Mineta,61,California,1981
14,Shumway,7,California,1981
15,Coelho,50,California,1981
16,Panetta,71,California,1981
17,Pashayan,14,California,1981
18,Thomas,15,California,1981
19,Lagomarsino,29,California,1981
20,Goldwater,16,California,1981
21,Fiedler,31,California,1981
22,Moorhead,29,California,1981
23,Beilenson,93,California,1981
24,Waxman,99,California,1981
25,Roybal,79,California,1981
26,Rousselot,24,California,1981
27,Dornan,18,California,1981
28,Dixon,61,California,1981
29,Hawkins,79,California,1981
30,Danielson,77,California,1981
31,Dymally,69,California,1981
32,Anderson,64,California,1981
33,Grisham,29,California,1981
34,Lundgren,36,California,1981
35,Dreier,21,California,1981
36,Brown,82,California,1981
37,Lewis,7,California,1981
38,Patterson,79,California,1981
39,Dannemeyer,36,California,1981
40,Badham,15,California,1981
41,Lowery,56,California,1981
42,Hunter,21,California,1981
43,Burgener,6,California,1981
1,Schroeder,91,Colorado,1981
2,Wirth,73,Colorado,1981
3,Kogovsek,57,Colorado,1981
4,Brown,50,Colorado,1981
5,Kramer,14,Colorado,1981
1,Kennelley,NA,Connecticut,1981
2,Gejdenson,86,Connecticut,1981
3,Denardis,76,Connecticut,1981
4,McKinney,68,Connecticut,1981
5,Ratchford,93,Connecticut,1981
6,Moffett,100,Connecticut,1981
1,Evans,53,Delaware,1981
1,Hutto,21,Florida,1981
2,Fuqua,36,Florida,1981
3,Bennett,29,Florida,1981
4,Chappell,6,Florida,1981
5,McCollum,30,Florida,1981
6,Young,23,Florida,1981
7,Gibbons,15,Florida,1981
8,Ireland,8,Florida,1981
9,Nelson,33,Florida,1981
10,Bafalis,23,Florida,1981
11,Mica,30,Florida,1981
12,Shaw,36,Florida,1981
13,Lehman,68,Florida,1981
14,Pepper,53,Florida,1981
15,Fascell,91,Florida,1981
1,Ginn,23,Georgia,1981
2,Hatcher,15,Georgia,1981
3,Brinkley,71,Georgia,1981
4,Levitas,64,Georgia,1981
5,Fowler,79,Georgia,1981
6,Gingrich,29,Georgia,1981
7,McDonald,37,Georgia,1981
8,Evans,22,Georgia,1981
9,Jenkins,24,Georgia,1981
10,Barnard,6,Georgia,1981
1,Heftel,71,Hawaii,1981
2,Akaka,50,Hawaii,1981
1,Craig,14,Idaho,1981
2,Hansen,7,Idaho,1981
1,Washington,98,Illinois,1981
2,Savage,91,Illinois,1981
3,Russo,86,Illinois,1981
4,Derwinski,46,Illinois,1981
5,Fary,57,Illinois,1981
6,Hyde,36,Illinois,1981
7,Collins,91,Illinois,1981
8,Rostenkowski,45,Illinois,1981
9,Yates,100,Illinois,1981
10,Porter,64,Illinois,1981
11,Annunzio,50,Illinois,1981
12,"Crane, P.",36,Illinois,1981
13,McClory,43,Illinois,1981
14,Erlenborn,38,Illinois,1981
15,Corcoran,37,Illinois,1981
16,Martin,40,Illinois,1981
17,O'Brien,14,Illinois,1981
18,Michel,15,Illinois,1981
19,Railsback,45,Illinois,1981
20,Findley,36,Illinois,1981
21,Madigan,15,Illinois,1981
22,"Crane, D.",43,Illinois,1981
23,Price,50,Illinois,1981
24,Simon,65,Illinois,1981
1,Benjamin,43,Indiana,1981
2,Fithian,84,Indiana,1981
3,Hiler,43,Indiana,1981
4,Coats,50,Indiana,1981
5,Hillis,22,Indiana,1981
6,Evans,64,Indiana,1981
7,Myers,0,Indiana,1981
8,Deckard,57,Indiana,1981
9,Hamilton,64,Indiana,1981
10,Sharp ,86,Indiana,1981
11,Jacobs,93,Indiana,1981
1,Leach,71,Iowa,1981
2,Tauke,58,Iowa,1981
3,Evans,21,Iowa,1981
4,Smith,33,Iowa,1981
5,Harkin,93,Iowa,1981
6,Bedell,91,Iowa,1981
1,Roberts,22,Kansas,1981
2,Jeffries,36,Kansas,1981
3,Winn,14,Kansas,1981
4,Glickman,68,Kansas,1981
5,Whittaker,29,Kansas,1981
1,Hubbard,36,Kentucky,1981
2,Natcher,36,Kentucky,1981
3,Mazzoli,56,Kentucky,1981
4,Snyder,29,Kentucky,1981
5,Rogers,21,Kentucky,1981
6,Hopkins,37,Kentucky,1981
7,Perkins,36,Kentucky,1981
1,Livingston,22,Louisiana,1981
2,Boggs,43,Louisiana,1981
3,Tauzin,21,Louisiana,1981
4,Roemer,50,Louisiana,1981
5,Huckaby,15,Louisiana,1981
6,Moore,50,Louisiana,1981
7,Breaux,31,Louisiana,1981
8,Long,64,Louisiana,1981
1,Emery,45,Maine,1981
2,Snowe,43,Maine,1981
1,Dyson,29,Maryland,1981
2,Long,45,Maryland,1981
3,Mikulski,100,Maryland,1981
4,Holt,15,Maryland,1981
5,Hoyer,74,Maryland,1981
6,Byron,17,Maryland,1981
7,Mitchell,97,Maryland,1981
8,Barnes,100,Maryland,1981
1,Conte,64,Massachusetts,1981
2,Boland,91,Massachusetts,1981
3,Early,90,Massachusetts,1981
4,Frank,93,Massachusetts,1981
5,Shannon,100,Massachusetts,1981
6,Mavroules,71,Massachusetts,1981
7,Markey,100,Massachusetts,1981
8,O'Neill,NA,Massachusetts,1981
9,Moakley,88,Massachusetts,1981
10,Heckler,64,Massachusetts,1981
11,Donnelly,71,Massachusetts,1981
12,Studds,100,Massachusetts,1981
1,Conyers,91,Michigan,1981
2,Pursell,57,Michigan,1981
3,Wolpe,100,Michigan,1981
4,Siljander,40,Michigan,1981
5,Sawyer,36,Michigan,1981
6,Dunn,57,Michigan,1981
7,Kildee,93,Michigan,1981
8,Traxler,79,Michigan,1981
9,Vander Jagt,22,Michigan,1981
10,Albosta,61,Michigan,1981
11,Davis,30,Michigan,1981
12,Bonior,98,Michigan,1981
13,Crockett,80,Michigan,1981
14,Hertel,86,Michigan,1981
15,Ford,61,Michigan,1981
16,Dingell,81,Michigan,1981
17,Brodhead,100,Michigan,1981
18,Blanchard,84,Michigan,1981
19,Broomfield,57,Michigan,1981
1,Erdahl,64,Minnesota,1981
2,Hagedorn,23,Minnesota,1981
3,Frenzel,33,Minnesota,1981
4,Vento,96,Minnesota,1981
5,Sabo,86,Minnesota,1981
6,Weber,71,Minnesota,1981
7,Stangeland,7,Minnesota,1981
8,Oberstar,86,Minnesota,1981
1,Whitten,36,Mississippi,1981
2,Bowen,23,Mississippi,1981
3,Montgomery,7,Mississippi,1981
4,Dowdy,10,Mississippi,1981
5,Lott,6,Mississippi,1981
1,Clay,99,Missouri,1981
2,Young,40,Missouri,1981
3,Gephardt,68,Missouri,1981
4,Skelton,36,Missouri,1981
5,Bolling,75,Missouri,1981
6,Coleman,30,Missouri,1981
7,Taylor,7,Missouri,1981
8,Bailey,23,Missouri,1981
9,Volkmer,43,Missouri,1981
10,Emerson,14,Missouri,1981
1,Williams,79,Montana,1981
2,Marlenee,22,Montana,1981
1,Bereuter,36,Nebraska,1981
2,Daub,29,Nebraska,1981
3,Smith,14,Nebraska,1981
1,Santini,50,Nevada,1981
1,D'Amours,88,New Hampshire,1981
2,Gregg,53,New Hampshire,1981
1,Florio,82,New Jersey,1981
2,Hughes,79,New Jersey,1981
3,Howard,76,New Jersey,1981
4,Smith,71,New Jersey,1981
5,Fenwick,79,New Jersey,1981
6,Forsythe,49,New Jersey,1981
7,Roukema,57,New Jersey,1981
8,Roe ,61,New Jersey,1981
9,Hollenbeck,45,New Jersey,1981
10,Rodino,100,New Jersey,1981
11,Minish,100,New Jersey,1981
12,Rinaldo,57,New Jersey,1981
13,Courter,45,New Jersey,1981
14,Guarini,84,New Jersey,1981
15,Dwyer,57,New Jersey,1981
1,Lujan,14,New Mexico,1981
2,Skeen,7,New Mexico,1981
1,Carney,7,New York,1981
2,Downey,95,New York,1981
3,Carman,43,New York,1981
4,Lent,29,New York,1981
5,McGrath,50,New York,1981
6,Leboutillier,14,New York,1981
7,Addabbo,61,New York,1981
8,Rosenthal,93,New York,1981
9,Ferraro,93,New York,1981
10,Biaggi,62,New York,1981
11,Scheuer,93,New York,1981
12,Chisholm,65,New York,1981
13,Solarz,86,New York,1981
14,Richmond,97,New York,1981
15,Zeferetti,53,New York,1981
16,Schumer,84,New York,1981
17,Molinari,43,New York,1981
18,Green,68,New York,1981
19,Rangel,81,New York,1981
20,Weiss,93,New York,1981
21,Garcia,79,New York,1981
22,Bingham,100,New York,1981
23,Peyser,71,New York,1981
24,Ottinger,100,New York,1981
25,Fish,71,New York,1981
26,Gilman,50,New York,1981
27,McHugh,86,New York,1981
28,Stratton,43,New York,1981
29,Solomon,43,New York,1981
30,Martin,36,New York,1981
31,Mitchell,53,New York,1981
32,Wortley,29,New York,1981
33,Lee,29,New York,1981
34,Hornton,24,New York,1981
35,Conable,37,New York,1981
36,LaFalce,71,New York,1981
37,Nowak,71,New York,1981
38,Kemp,28,New York,1981
39,Lundine,76,New York,1981
1,Jones,46,North Carolina,1981
2,Fountain,43,North Carolina,1981
3,Whitley,30,North Carolina,1981
4,Andrews,37,North Carolina,1981
5,Neal,83,North Carolina,1981
6,Johnston,45,North Carolina,1981
7,Rose ,52,North Carolina,1981
8,Hefner,29,North Carolina,1981
9,Martin,33,North Carolina,1981
10,Broyhill,30,North Carolina,1981
11,Hendon,6,North Carolina,1981
1,Dorgan,71,North Dakota,1981
1,Gradison,62,Ohio,1981
2,Luken,57,Ohio,1981
3,Hall,86,Ohio,1981
4,Oxley,33,Ohio,1981
5,Latta,23,Ohio,1981
6,McEwen,21,Ohio,1981
7,Brown,15,Ohio,1981
8,Kindness,7,Ohio,1981
9,Weber,57,Ohio,1981
10,Miller,14,Ohio,1981
11,Stanton,43,Ohio,1981
12,Shamansky,86,Ohio,1981
13,Pease,86,Ohio,1981
14,Seiberling,93,Ohio,1981
15,Wylie,24,Ohio,1981
16,Regula,7,Ohio,1981
17,Ashbrook,6,Ohio,1981
18,Appelgate,64,Ohio,1981
19,Williams,21,Ohio,1981
20,Oaker,71,Ohio,1981
21,Stokes,57,Ohio,1981
22,Eckart,79,Ohio,1981
23,Mottl,39,Ohio,1981
1,Jones,45,Oklahoma,1981
2,Synar,100,Oklahoma,1981
3,Watkins,36,Oklahoma,1981
4,McCurdy,43,Oklahoma,1981
5,Edwards,14,Oklahoma,1981
6,English,21,Oklahoma,1981
1,AuCoin,82,Oregon,1981
2,Smith,45,Oregon,1981
3,Wyden,100,Oregon,1981
4,Weaver,100,Oregon,1981
1,Foglietta,86,Pennsylvania,1981
2,Gray,73,Pennsylvania,1981
3,Smith,NA,Pennsylvania,1981
4,Dougherty,40,Pennsylvania,1981
5,Schulze,14,Pennsylvania,1981
6,Yatron,50,Pennsylvania,1981
7,Edgar,100,Pennsylvania,1981
8,"Coyne, J.",50,Pennsylvania,1981
9,Shuster,7,Pennsylvania,1981
10,McDade,61,Pennsylvania,1981
11,Nelligan,36,Pennsylvania,1981
12,Murtha,36,Pennsylvania,1981
13,Coughlin,29,Pennsylvania,1981
14,"Coyne, W.",64,Pennsylvania,1981
15,Ritter,37,Pennsylvania,1981
16,Walker,36,Pennsylvania,1981
17,Ertel,43,Pennsylvania,1981
18,Walgren,79,Pennsylvania,1981
19,Goodling,53,Pennsylvania,1981
20,Gaydos,82,Pennsylvania,1981
21,Bailey,45,Pennsylvania,1981
22,Murphy,53,Pennsylvania,1981
23,Clinger,43,Pennsylvania,1981
24,Marks,43,Pennsylvania,1981
25,Atkinson,36,Pennsylvania,1981
1,St. Germain,90,Rhode Island,1981
2,Schneider,79,Rhode Island,1981
1,Hartnett,36,South Carolina,1981
2,Spence,21,South Carolina,1981
3,Derrick,68,South Carolina,1981
4,Campbell,14,South Carolina,1981
5,Holland,45,South Carolina,1981
6,Napier,14,South Carolina,1981
1,Daschle,86,South Dakota,1981
2,Roberts,14,South Dakota,1981
1,Quillen,0,Tennessee,1981
2,Duncan,0,Tennessee,1981
3,Bouquard,22,Tennessee,1981
4,Gore,57,Tennessee,1981
5,Boner,57,Tennessee,1981
6,Beard,0,Tennessee,1981
7,Jones,36,Tennessee,1981
8,Ford,57,Tennessee,1981
1,"Hall, S.",7,Texas,1981
2,Wilson,22,Texas,1981
3,Collins,43,Texas,1981
4,"Hall, R.",0,Texas,1981
5,Mattox,92,Texas,1981
6,Gramm,7,Texas,1981
